番号,日付,保有数,配当/株,申告レート,為替レート,＄:受取金額,￥:受取金額,前月終値,＄:利回り,＄:税後利回り
1,2020/02/01,1,$0.243425,¥108.92,¥109.67,$0.20,¥21,$114.65,,
2,2020/03/01,2,$0.239027,¥105.25,¥104.19,$0.37,¥38,$116.22,,
3,2020/04/01,3,$0.248680,¥108.10,¥108.67,$0.56,¥60,$115.37,,
4,2020/05/01,4,$0.236297,¥105.27,¥106.95,$0.71,¥74,$117.10,,
5,2020/06/01,5,$0.213602,¥108.09,¥109.48,$0.79,¥85,$117.65,,
6,2020/07/01,6,$0.222865,¥106.69,¥107.31,$0.99,¥105,$118.21,,
7,2020/08/01,7,$0.207367,¥104.59,¥106.17,$1.08,¥112,$119.56,,
8,2020/09/01,8,$0.195222,¥105.31,¥105.99,$1.15,¥121,$118.37,,
9,2020/10/01,9,$0.201694,¥104.68,¥106.07,$1.33,¥139,$118.06,,
10,2020/11/01,10,$0.192064,¥102.70,¥103.35,$1.40,¥143,$117.20,,
11,2020/12/01,11,$0.205967,¥103.08,¥104.09,$1.66,¥171,$118.42,,
12,2021/01/01,11,$0.125266,¥102.65,¥103.63,$1.02,¥104,$118.19,,
13,2021/02/01,13,$0.191959,¥104.54,¥105.54,$1.82,¥190,$117.31,,
14,2021/03/01,14,$0.189702,¥106.90,¥108.37,$1.94,¥207,$115.34,,
15,2021/04/01,15,$0.172203,¥108.83,¥109.31,$1.89,¥205,$113.83,,
16,2021/05/01,65,$0.172575,¥108.15,¥108.77,$8.08,¥873,$114.49,,
17,2021/06/01,116,$0.166882,¥108.57,¥109.45,$13.94,"¥1,513",$114.55,,
18,2021/07/01,116,$0.155512,¥109.58,¥109.92,$12.97,"¥1,421",$115.33,,
19,2021/08/01,116,$0.166643,¥108.89,¥110.36,$13.93,"¥1,516",$116.46,,
20,2021/09/01,116,$0.167395,¥109.27,¥110.23,$13.98,"¥1,527",$116.06,,
21,2021/10/01,116,$0.179691,¥110.40,¥111.73,$15.01,"¥1,657",$114.83,,
22,2021/11/01,116,$0.179542,¥112.78,¥113.62,$14.99,"¥1,690",$114.64,,
23,2021/12/01,116,$0.161785,¥112.50,¥113.57,$13.51,"¥1,519",$114.77,,
24,2022/01/01,116,$0.116542,¥113.18,¥114.23,$9.74,"¥1,102",$114.08,,
25,2022/02/01,116,$0.161482,¥114.26,¥115.30,$13.48,"¥1,540",$111.80,,
26,2022/03/01,116,$0.160622,¥114.02,¥115.49,$13.43,"¥1,531",$110.36,,
27,2022/04/01,116,$0.159848,¥122.66,¥123.79,$13.35,"¥1,637",$107.10,,
28,2022/05/01,116,$0.181332,¥129.52,¥130.78,$15.14,"¥1,960",$103.49,,
29,2022/06/01,116,$0.186101,¥131.24,¥132.81,$15.56,"¥2,042",$103.47,,
30,2022/07/01,116,$0.185649,¥135.06,¥136.47,$15.51,"¥2,094",$101.68,,
31,2022/08/01,116,$0.200463,¥132.02,¥135.34,$16.80,"¥2,217",$104.07,,
32,2022/09/01,116,$0.204483,¥143.48,¥143.81,$17.03,"¥2,443",$100.71,,
33,2022/10/01,116,$0.210609,¥143.92,¥145.77,$17.59,"¥2,531",$96.34,,
34,2022/11/01,116,$0.216055,¥146.04,¥146.55,$18.02,"¥2,631",$94.90,,
35,2022/12/01,116,$0.226212,¥136.31,¥136.57,$18.85,"¥2,569",$98.29,,
36,2023/01/01,116,$0.225819,¥130.78,¥132.29,$18.86,"¥2,466",$96.99,,
37,2023/02/01,116,$0.245333,¥131.58,¥130.93,$20.40,"¥2,684",$100.22,,
38,2023/03/01,116,$0.233768,¥135.13,¥137.35,$19.55,"¥2,641",$97.31,,
39,2023/04/01,116,$0.251756,¥130.19,¥132.62,$21.06,"¥2,741",$99.64,,
40,2023/05/01,116,$0.249306,¥136.67,¥135.14,$20.71,"¥2,830",$99.96,,
41,2023/06/01,116,$0.257741,¥138.51,¥140.00,$21.52,"¥2,980",$98.57,,
42,2023/07/01,116,$0.257390,¥141.54,¥141.46,$21.21,"¥3,002",$97.68,,
43,2023/08/01,116,$0.264609,¥140.70,¥143.06,$22.13,"¥3,113",$97.68,,
44,2023/09/01,116,$0.260446,¥146.01,¥146.97,$21.72,"¥3,171",$96.80,,
45,2023/10/01,116,$0.257304,¥147.75,¥148.60,$21.45,"¥3,169",$94.04,,
46,2023/11/01,116,$0.276585,¥149.10,¥150.67,$23.09,"¥3,442",$92.31,,
47,2023/12/01,116,$0.273635,¥146.17,¥143.25,$22.66,"¥3,312",$96.26,,
48,2024/01/31,116,$0.282345,¥143.03,¥143.48,$23.53,"¥3,365",$99.25,,
49,2024/02/01,116,$0.293291,¥146.88,¥148.15,$24.47,"¥3,594",$99.10,,
50,2024/03/01,116,$0.286202,¥148.02,¥147.86,$23.82,"¥3,525",$97.35,,
51,2024/04/01,116,$0.290239,¥149.99,¥151.80,$24.24,"¥3,635",$97.94,,
52,2024/05/01,116,$0.297810,¥153.11,¥154.95,$24.62,"¥3,769",$95.23,,
53,2024/06/01,116,$0.301803,¥154.81,¥157.01,$25.22,"¥3,904",$96.52,,
54,2024/07/01,116,$0.300883,¥160.17,¥160.77,$25.07,"¥4,015",$97.07,,
55,2024/08/01,116,$0.303750,¥143.98,¥144.80,$25.33,"¥3,647",$99.11,,